Review,Date Posted
"If 0 star option I'd select If 0 star option I'd select it. Unable get return ticket airport could pay cash, private hire company ""given"" card machine. And front door work Wi Fi. How possible national company hire private buses run routes?? If want equipped card machine like normal logo instead paper cut logo stuck blue tack front. That 4.48 Gorey 3rd June It's disappointing. WEXFORD one you!",2023-06-03
If I could put stars I would If I could put stars I would of...my daughter boyfriend travelled back castlebar westport tisevening driver rude them..he asked ther ages called daughter liar said 14 years age..she's quiet polite girl boyfriend same...he threw ther chang back rude...his name Peter.. maybe Learn communication skills..,2023-07-11
"Dungarvan Cork Arrived 20 minutes late anyways get destination move hour past expected arrival time, missed second home. Livid",2023-06-09
Got Saturday around one clock Got Saturday around one clock lashing rain brother un wheelchair The driver sat phone open door opened outsidevhe get far ars take ramp ( I carry screwdriver drivers clue) Got got George's Street said I screwdriver sat there.. Reg bus12 C 3502 It's bloody discrase..,2023-07-15
"37 route37 route Very poor service peak times. People left stranded yet morning stop. Other days shows. No reliability, accountability, standards. No good.",2022-10-10
"Bloody stupid Bloody stupid service. Waited three hours rain Trim Dublin every single one full, notice app, extra buses even though bloody stupid game going on. They aware running extra busses.",2023-07-15
Terrible experience. Terrible experience. overbooked instead rent car cost us way delayed trip. It's 6 weeks I still received refund several reminders empty promises. Unbelievable.,2022-07-16
"late 40 minutes late 40 minutes waiting nearly hour hour route 55 absolute joke plans made wont makes thanks late , first time happened . suppose come 17:52 18:38 still excus",2023-02-13
Absolutely awful Absolutely awful. supposed airport 5:20 didnt show til 5:28 didnt depart 5:40. Supposed virgina 6:30 notion time. Awful awful service. Please get desperate paying extra money Express Paying extra money late like. A joke.,2022-10-27
"Awful 214 experience Got 214 7.40pm, driver extremely aggressive towards me. My leap card didnt go machine (my first time using leap card) kept screaming put card machine, I couldnt understand saying driving trying communicate me, I earphones 0% volume, kept screaming put card machine, yelling. It sounded like going sit seat physically hit me, He driving high speeds well sharp turns. I bit shaken throughout drive didnt want face again. Awful experience, I never want get driver like ever again.",2022-09-24
"If possible award zero stars If possible award zero stars I would done so. Dreadful service, fact service speak of. To make matters worse also hideously expensive offer. This first time many years Ive used (live abroad) certainly last. Galway arrived late, 15 minutes, missed connecting Tralee (that connecting left directly time) missed 30 seconds ( Galway pull bay Tralee reversed leave). Online timetable indicated hour later station manager said two hours, pay heed online, posted paper stop!!!!! 80 EUR way adult two children, complete rip woeful mismanagement. And end Tralee ended taking 20 minutes late. You couldnt make up!",2023-07-11
I refused boarding onto x30 I refused boarding onto x30 today 2pm told get 109x going virginia. The 109x takes much longer really inconvenient. This possibly worst customer service ever experienced,2023-04-21
"ireann crew ireann crew, take look rethink customer service poor service offer. Me, like 85% people here, I unsatisfied service... Rude drivers, buses never time, buses never show up... I going tell negative experiences take moment think services offering 85% reviews negative. I give 1 star I chance give -100 starts. This company worst company ever. I wish someday private company replace you.",2022-12-24
"Finding route pretty simple Finding route pretty simple thing online, however website confusing inaccurate - On two occasions recently, I found needing call Customer Service confirm confirm certain buses. All I took conversations Customer Service team either need learn give accurate information customers get proper training line work order help public. They literally got clue. Possibly untrained, regardless, acceptable 2023.",2023-09-23
always late115x mullingar always late. I dont know 115 Enfield comes quicker time shorter travel time. Then 115x comes 30-45mins late 4 5 times Monday Friday schedule. Its always 115x mullingar dublin 5:30pm expected arrival Heuston Busaras instead comes 6pm later.,2022-12-15
