Review,Date
"I booked didnt turn I booked didnt turn refund given, called customer service Im stranded London said I sort self I use last minute train go back Sheffield 1amso wrong serving public putting people risk",2023-12-31
Good The staff nice,2024-01-01
Worst service worst driver Worst service worst driver. He bad helpful ways. Never go them.,2023-12-31
Punctual clean facilities,2023-12-31
Long journey comfortable.,2023-12-21
Departed arrived time,2024-01-01
Arrive hour n half late,2023-12-27
"The important thing The important thing cheap compared coach companies. They efficient comfortable, excellent experience going Southampton. No driving, parking made cruise enjoyable",2023-12-30
Everything fine way Everything fine way Scotland water toilet working flush toilet okay,2023-12-15
"First horrible bad experience First horrible bad experience. More 5people missed informacin said Shefield Leeds, first time, hence I unfamiliar service driver never said Leeds ,customer service bad moreover informacin reservation number null . Lost money I Will never buy ticket, I reccomend It, I reccomend LNER confortable,cheap faster",2023-12-26
"Really value money Really value money, comfortable journey back. I could done round trip Birmingham Oxford cheaper.",2023-12-15
"Minus one outside heating Minus one outside heating . It absolutely freezing even though winter coats layers on. There actually cold air coming vents. I suspect less likely case keeping everyone comfortable likely case saving money. Everyone hood up, hats on, gloves on. I requesting refund journey cost 15 return ( I suspect heating either) cost 30. It absolutely ridiculous. UPDATE- sent apology. I informed n return trip, two days later, bitterly cold floor strewn sandwich wrappers discarded sandwich fillings. I requested refund holding hopeful customer services line Our heating systems checked regularly part rigorous maintenance schedules I sorry fault developed whilst vehicle service. It good enough The round trip cost 45 already quite expensive , spend 8 hours freezing cold merits sincere apology",2023-12-30
"The dirty bad The dirty bad smell, disgusting",2023-12-30
"Mid december apparently Mid december apparently heating working? People travel 6+ hours winter coats, hats gloves still cold. Appaling.",2023-12-14
"Terrible Terrible, 1hr 30 late 2 hour journey good reason. I took M37 Birmingham cambridge 29th dec, traffic minimal coach still 1hr30 late dont waste time. Awful experience",2023-12-29
"The drivers great fab The drivers great fab buses.,.not keen dark grotty pick place Birmingham...shelters minimal adequate lighting reallydiscovered Digbeth owned Nat Express..gloom!",2023-12-29
I spectacular thing I spectacular thing say.,2023-12-16
"Friendly driver The driver friendly, moved passenger booked seats kept time.",2023-12-18
Top service Helpful good journey,2023-12-18
Very good driver got destination Very good driver got destination time,2023-12-12
Its first time Its first time toilets disgusting staff rude.,2023-12-28
--------------,2023-12-19
"Excellent customer service Excellent customer service, easy change booking come home couple days early, lovely comfortable coach ecellent drivers. Everyone polite helpful. Eccellent value money. Will definitely travelling again.",2023-12-14
"All good Lovely journey Bristol staff Bristol absolutely fantastic, problem return staff less funny.",2023-12-18
"Booked return Dundee Lancaster Booked return Dundee Lancaster change Glasgow, outward journey great. First leg return journey delayed little didnt mind cant helped busy roads. However disappointed staff attitude Glasgow, unprofessional, ended Perth fortunately family another disappointed passenger family collect us otherwise goodness knows would got home. I might add thing happened previous visit Lancaster using service delay return trip Glasgow staff extremely helpful, professional courteous ensuring Dundee delayed slightly get us lot us affected.",2023-12-18
